Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1620	813	CONGUACO	CESA		128	415.00
1392	635	SAN SEBASTIAN COATAN	CESA		128	415.00
1193	632	ZAPOTITLAN	CESA		128	415.00
1108	605	EL PALMAR	CESA		128	415.00
1098	594	CABALLO BLANCO	CESA		256	650.00
1583	584	JEREZ	CESA		256	650.00
1186	581	EL ADELANTO	CESA		128	415.00
1077	575	COLOTENANGO	CESA		256	650.00
1575	558	SAN MARTIN SACATEPEQUEZ	CESA		128	415.00
1341	680	TAJUMULCO	CESA		256	650.00
1383	687	LLANO GRANDE SALAMA\t\t\t\t	CESA		128	415.00
1618	812	CALLE REAL SAN JOSE DEL GOLFO	CESA		128	415.00
1619	811	LO DE REYES, SAN PEDRO AYAMPUC	CESA		128	415.00
1616	808	AUTOBANCO SAMAYAC	CESA		128	415.00
1596	802	JUMAYTEPEQUE	CESA		128	415.00
1548	784	GODINEZ	CESA		128	415.00
1485	763	GUATELINDA SAN DIEGO	CESA		128	415.00
1460	753	LAS CABEZAS ORATORIO	CESA		128	415.00
1374	692	SAN GASPAR IXCHIL	CESA		128	415.00
1010	554	HUITAN QUETZALTENANGO	CESA		128	415.00
1015	552	WAY EL NARANJO	CESA		128	415.00
723	196	SAN MIGUEL POCHUTA	CESA		128	415.00
893	286	SAN IDELFONSO IXTAHUACAN	CESA		256	650.00
772	349	SAN MARCOS HUISTA	CESA		256	650.00
1571	450	SAN CARLOS ALZATATE	CESA		128	415.00
1092	460	MONTERRICO	CESA		128	415.00
1128	488	CHUARRANCHO	CESA		128	415.00
1094	506	HORCONES 	CESA		256	650.00
1113	512	UNION CANTINIL	CESA		128	415.00
1074	537	GRAN KARMEL	CESA		128	415.00
905	517	CHINIQUE	CESA		256	650.00
1085	535	TIERRA BLANCA	CESA		256	650.00
1078	527	AUTOBANCO CRUCE SAN LUIS 	CESA		256	650.00
1481	521	SANTIAGO CHIMALTENANGO	CESA		128	415.00
1217	637	SAN JUAN ERMITA CHIQUIMULA	CESA	0	128	415.00
1314	520	SAN JUAN ATITAN	CESA	0	128	415.00
872	465	CHANMAGUA	CESA	0	128	415.00
815	466	SALTAN	CESA	0	128	415.00
897	483	SAN JUAN IXCOY	CESA	0	128	415.00
910	518	MONTUFAR	CESA	0	128	415.00
1315	638	SAN JACINTO	CESA	0	256	650.00
1143	130	GRANADOS	CESA	0	256	650.00
